Time (s) Run 6,Nitric Acid,Citric Acid,Hydrochloric Acid,Acetic (Ethanoic) Acid,Ionized Water,Tap Water,Ammonia,Sodium Hydroxide,,,,,,,
0,1.2,2.3,1.3,2.6,4.9,4.7,3.5,3.8,,,,,,,
0.2,1.2,2.2,1.3,2.6,4.9,4.8,3.5,3.8,,,,,,,
0.4,1.2,2.2,1.3,2.6,4.9,4.8,3.5,3.8,,,,,,,
0.6,1.2,2.1,1.3,2.6,4.9,4.8,3.5,3.8,,,,,,,
0.8,1.2,2.1,1.3,2.6,4.9,4.8,3.9,4.2,,,,,,,
1,1.2,2.1,1.3,2.6,4.9,4.9,4.5,6,,,,,,,
1.2,1.2,2.1,1.3,2.6,4.9,4.9,5,8,,,,,,,
1.4,1.2,2.1,1.3,2.6,4.9,4.9,5.3,9.4,,,,,,,
1.6,1.2,2.1,1.2,2.6,4.9,4.9,5.6,10.5,,,,,,,
1.8,1.2,2.1,1.2,2.6,4.9,5,5.8,11.1,,,,,,,
2,1.2,2.1,1.2,2.6,4.9,5,6,11.4,,,,,,,
2.2,1.2,2.1,1.2,2.6,4.9,5,6.1,11.6,,,,,,,
2.4,1.2,2.1,1.2,2.6,4.9,5,6.2,11.8,,,,,,,
2.6,1.2,2.1,1.2,2.6,4.9,5,6.3,11.8,,,,,,,
2.8,1.2,2.1,1.2,2.6,4.9,5,6.4,11.9,,,,,,,
3,1.2,2.1,1.2,2.6,4.9,5,6.4,11.9,,,,,,,
3.2,1.2,2.1,1.2,2.6,4.9,5.1,6.5,11.9,,,,,,,
3.4,1.2,2.1,1.2,2.6,4.9,5.1,6.6,11.9,,,,,,,
3.6,1.2,2.1,1.2,2.6,4.9,5.1,6.6,11.9,,,,,,,
3.8,1.2,2.1,1.2,2.6,4.9,5.1,6.7,11.9,,,,,,,
4,1.2,2.1,1.2,2.6,4.9,5.1,6.7,11.9,,,,,,,
4.2,1.2,2.1,1.2,2.6,4.9,5.1,6.8,11.9,,,,,,,
4.4,1.2,2.1,1.2,2.6,4.9,5.1,6.8,11.9,,,,,,,
4.6,1.2,2.1,1.2,2.6,4.9,5.1,6.9,11.9,,,,,,,
4.8,1.2,2.1,1.2,2.6,4.9,5.2,6.9,11.9,,,,,,,
5,1.2,2.1,1.2,2.6,4.9,5.2,7,11.9,,,,,,,
5.2,1.2,2.1,1.2,2.6,4.9,5.2,7,11.9,,,,,,,
5.4,1.2,2.1,1.2,2.6,4.9,5.2,7.1,11.9,,,,,,,
5.6,1.2,2.1,1.2,2.6,4.9,5.2,7.1,11.9,,,,,,,
5.8,1.2,2.1,1.2,2.6,4.9,5.2,7.2,11.9,,,,,,,
6,1.2,2.1,1.2,2.6,5,5.2,7.2,11.9,,,,,,,
6.2,1.2,2.1,1.2,2.6,5,5.2,7.3,11.9,,,,,,,
6.4,1.2,2.1,1.2,2.6,5,5.2,7.3,11.9,,,,,,,
6.6,1.2,2.1,1.2,2.6,5,5.2,7.3,11.9,,,,,,,
6.8,1.2,2.1,1.2,2.6,5,5.2,7.4,11.9,,,,,,,
7,1.2,2.1,1.2,2.6,5,5.3,7.4,11.9,,,,,,,
7.2,1.2,2.1,1.2,2.6,5,5.3,7.4,11.9,,,,,,,
7.4,1.2,2.1,1.2,2.6,5,5.3,7.5,11.9,,,,,,,
7.6,1.2,2.1,1.2,2.6,5,5.3,7.5,11.9,,,,,,,
7.8,1.2,2.1,1.2,2.6,5,5.3,7.5,11.9,,,,,,,
8,1.2,2.1,1.2,2.6,5,5.3,7.6,11.9,,,,,,,
8.2,1.2,2.1,1.2,2.6,5,5.3,7.6,11.9,,,,,,,
8.4,1.2,2.1,1.2,2.6,5,5.3,7.6,11.9,,,,,,,
8.6,1.2,2.1,1.2,2.6,5,5.3,7.7,11.9,,,,,,,
8.8,1.2,2.1,1.2,2.6,5,5.3,7.7,11.9,,,,,,,
9,1.2,2.1,1.2,2.6,5,5.3,7.7,11.9,,,,,,,
9.2,1.2,2.1,1.2,2.6,5,5.3,7.7,11.9,,,,,,,
9.4,1.2,2.1,1.2,2.6,5,5.3,7.8,11.9,,,,,,,
9.6,1.2,2.1,1.2,2.6,5,5.3,7.8,11.9,,,,,,,
9.8,1.2,2.1,1.2,2.6,5,5.4,7.8,11.9,,,,,,,
10,1.2,2.1,1.2,2.6,5,5.4,7.8,11.9,,,,,,,
10.2,1.2,2.1,1.2,2.6,5,5.4,7.9,11.9,,,,,,,
10.4,1.2,2.1,1.2,2.6,5,5.4,7.9,11.9,,,,,,,
10.6,1.2,2.1,1.1,2.6,5,5.4,7.9,11.9,,,,,,,
10.8,1.2,2.1,1.1,2.6,5,5.4,7.9,11.9,,,,,,,
11,1.2,2.1,1.1,2.6,5,5.4,7.9,11.9,,,,,,,
11.2,1.2,2.1,1.1,2.6,5,5.4,8,11.9,,,,,,,
11.4,1.2,2.1,1.1,2.6,5,5.4,8,11.9,,,,,,,
11.6,1.2,2.1,1.1,2.6,5,5.4,8,11.9,,,,,,,
11.8,1.2,2.1,1.1,2.6,5,5.4,8,11.9,,,,,,,
12,1.2,2,1.1,2.6,5,5.4,8,11.9,,,,,,,
12.2,1.2,2,1.1,2.6,5,5.4,8,11.9,,,,,,,
12.4,1.2,2,1.1,2.6,5,5.4,8,11.9,,,,,,,
12.6,1.2,2,1.1,2.6,5,5.4,8.1,11.9,,,,,,,
12.8,1.2,2,1.1,2.6,5,5.4,8.1,11.9,,,,,,,
13,1.2,2,1.1,2.6,5,5.4,8.1,11.9,,,,,,,
13.2,1.2,2,1.1,2.6,5,5.4,8.1,11.9,,,,,,,
13.4,1.2,2,1.1,2.6,5,5.4,8.1,11.9,,,,,,,
13.6,1.2,2,1.1,2.6,5,5.5,8.1,11.9,,,,,,,
13.8,1.2,2,1.1,2.6,5,5.5,8.1,11.9,,,,,,,
14,1.2,2,1.1,2.6,5,5.5,8.1,11.9,,,,,,,
14.2,1.2,2,1.1,2.6,5,5.5,8.1,11.9,,,,,,,
14.4,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
14.6,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
14.8,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
15,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
15.2,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
15.4,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
15.6,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
15.8,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
16,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
16.2,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
16.4,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
16.6,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
16.8,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
17,1.2,2,1.1,2.6,5,5.5,8.2,11.9,,,,,,,
17.2,1.2,2,1.1,2.6,5,5.5,8.3,11.9,,,,,,,
17.4,1.2,2,1.1,2.6,5,5.5,8.3,11.9,,,,,,,
17.6,1.2,2,1.1,2.6,5,5.5,8.3,11.9,,,,,,,
17.8,1.2,2,1.1,2.6,5,5.5,8.3,11.9,,,,,,,
18,1.2,2,1.1,2.6,5,5.5,8.3,11.9,,,,,,,
18.2,1.2,2,1.1,2.6,5,5.5,8.3,11.9,,,,,,,
18.4,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
18.6,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
18.8,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
19,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
19.2,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
19.4,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
19.6,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
19.8,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
20,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
20.2,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
20.4,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
20.6,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
20.8,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
21,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
21.2,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
21.4,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
21.6,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
21.8,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
22,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
22.2,1.1,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
22.4,1.2,2,1.1,2.6,5,5.6,8.3,11.9,,,,,,,
22.6,1.2,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
22.8,1.2,2,1.1,2.6,5,5.6,8.4,11.9,,,,,,,
